asset_id,duration,event_observed,asset_age,avg_temperature,vibration_score,load_factor,maintenance_quality
asset_0084,61.55,0,20.4,71.1,0.761,0.846,medium
asset_0085,41.7,0,22.9,70.97,1.378,0.793,low
asset_0086,65.47,0,13.79,72.96,0.708,0.289,medium
asset_0087,66.57,0,60.78,79.63,1.48,0.495,medium
asset_0088,18.41,1,27.55,84.4,3.983,0.641,low
asset_0089,49.31,1,54.23,71.98,2.242,0.776,high
asset_0090,27.56,1,23.48,79.34,1.688,0.49,medium
asset_0091,52.67,1,36.4,65.68,1.175,0.93,medium
asset_0092,40.56,1,32.23,78.89,0.51,0.721,medium
asset_0093,99.1,0,12.97,65.14,0.674,0.388,high
asset_0094,4.36,1,64.45,81.82,2.175,0.975,medium
asset_0095,56.17,1,23.85,91.9,0.856,0.679,high
asset_0096,60.06,1,15.43,70.9,0.892,0.737,medium
asset_0097,79.76,1,40.33,52.27,1.134,0.878,high
asset_0098,38.45,1,29.25,67.07,0.757,0.7,medium
asset_0099,8.29,1,34.81,83.09,0.703,0.925,medium
asset_0100,43.9,1,30.74,76.98,1.194,0.789,low
asset_0101,29.96,1,7.8,74.24,0.818,0.648,high
asset_0102,21.17,1,18.22,81.08,0.875,0.858,medium
asset_0103,48.83,1,17.83,76.36,0.859,0.847,medium
asset_0104,43.75,1,45.72,82.96,1.545,0.468,medium
asset_0105,16.59,1,29.81,80.27,1.1,0.969,low
asset_0106,14.56,1,37.47,85.7,1.127,0.715,high
asset_0107,55.51,1,24.59,75.23,1.598,0.76,high
asset_0108,71.29,0,38.37,80.15,1.146,0.253,medium
asset_0109,76.48,1,27.03,69.24,1.078,0.661,medium
asset_0110,53.13,0,26.04,66.59,1.509,0.823,medium
asset_0111,20.42,1,32.12,87.36,1.65,0.783,high
asset_0112,54.44,1,30.74,73.95,1.143,0.664,low
asset_0113,7.73,1,87.27,79.24,1.267,0.472,medium
asset_0114,123.86,1,18.11,73.11,0.859,0.734,medium
asset_0115,95.49,0,12.14,66.72,0.829,0.467,medium
asset_0116,72.79,1,34.44,72.1,1.727,0.894,medium
asset_0117,2.96,1,19.52,84.92,1.492,0.428,low
asset_0118,72.32,1,7.2,77.0,1.499,0.873,high
asset_0119,68.96,0,15.88,56.6,1.386,0.649,low
asset_0120,41.49,1,77.91,70.06,1.247,0.911,low
asset_0121,2.82,1,17.85,88.04,1.671,0.576,medium
asset_0122,81.79,1,9.81,70.08,1.86,0.478,medium
asset_0123,63.24,1,75.53,55.8,1.841,0.73,low
asset_0124,57.5,1,15.54,89.04,1.167,0.847,medium
asset_0125,34.74,1,100.13,78.14,2.28,0.877,medium
asset_0126,69.45,1,24.05,71.37,1.354,0.615,low
asset_0127,81.59,1,64.58,68.66,1.623,0.548,high
asset_0128,43.78,1,25.73,81.74,1.387,0.544,medium
asset_0129,40.37,0,36.51,67.12,1.365,0.618,medium
asset_0130,64.75,1,27.33,82.33,0.877,0.371,low
asset_0131,64.99,0,25.83,76.88,1.675,0.667,medium
asset_0132,3.05,1,33.04,74.2,4.395,0.812,high
asset_0133,81.65,0,37.17,73.31,1.032,0.727,low
asset_0134,31.36,1,31.78,70.43,1.261,0.719,low
asset_0135,16.91,1,30.16,81.41,0.999,0.737,medium
asset_0136,47.79,1,19.61,64.21,0.981,0.759,low
asset_0137,44.08,0,27.87,57.4,2.447,0.514,high
asset_0138,38.46,1,60.64,77.53,0.902,0.714,medium
asset_0139,27.98,1,19.13,77.68,0.987,0.81,medium
asset_0140,30.0,1,33.52,76.32,0.598,0.703,high
asset_0141,75.27,1,51.63,75.67,0.869,0.408,high
asset_0142,30.23,1,37.32,69.12,0.566,0.654,high
asset_0143,57.95,1,45.96,79.09,1.623,0.845,medium
asset_0144,35.17,1,15.4,71.59,4.305,0.842,medium
asset_0145,74.99,1,33.56,67.62,1.036,0.883,medium
asset_0146,71.72,1,25.08,69.19,0.577,0.604,medium
asset_0147,6.03,1,25.64,90.19,1.831,0.754,medium
asset_0148,27.05,1,58.14,56.39,0.881,0.696,low
asset_0149,9.15,1,25.85,76.5,2.192,0.698,medium
asset_0150,43.75,1,34.11,56.89,1.076,0.957,medium
asset_0151,97.94,0,9.81,71.03,0.919,0.894,medium
asset_0152,11.33,1,64.55,68.1,1.127,0.938,low
asset_0153,129.92,0,44.66,53.23,1.718,0.483,medium
asset_0154,53.7,1,28.4,75.5,1.103,0.467,medium
asset_0155,19.21,1,24.5,68.58,0.977,0.819,medium
asset_0156,22.14,1,39.19,53.11,1.117,0.829,medium
asset_0157,35.79,1,51.32,79.56,0.689,0.873,low
asset_0158,19.94,1,64.98,84.92,1.46,0.95,low
asset_0159,35.34,1,43.93,85.41,0.547,0.788,medium
asset_0160,11.7,1,30.36,75.23,1.0,0.623,low
asset_0161,54.76,1,47.25,72.41,1.719,0.625,medium
asset_0162,33.06,1,43.02,83.95,1.4,0.958,high
asset_0163,10.68,1,30.43,87.14,1.593,0.85,low
asset_0164,14.3,1,42.4,82.2,1.186,0.915,medium
asset_0165,40.66,1,42.01,63.53,2.068,0.394,medium
asset_0166,17.87,1,28.32,73.81,1.852,0.904,medium
asset_0167,73.06,1,22.09,75.96,1.493,0.493,low
asset_0168,45.2,1,40.22,55.71,1.854,0.808,low
asset_0169,96.24,0,16.38,76.22,1.712,0.739,high
asset_0170,60.47,1,14.37,92.46,1.002,0.493,low
asset_0171,58.61,0,34.38,77.76,0.667,0.788,medium
asset_0172,36.61,1,39.68,85.26,1.476,0.545,high
asset_0173,36.29,1,34.25,73.65,1.562,0.677,medium
asset_0174,40.26,1,36.14,71.34,1.995,0.594,medium
asset_0175,41.25,1,7.72,75.43,0.801,0.556,low
asset_0176,62.58,1,39.35,64.66,0.812,0.856,medium
asset_0177,56.19,1,58.25,63.33,1.502,0.816,medium
asset_0178,41.21,1,44.31,83.4,1.183,0.692,high
asset_0179,56.29,0,43.65,84.35,0.523,0.634,low
asset_0180,33.77,1,33.05,63.08,1.446,0.621,low
asset_0181,12.23,1,33.67,80.71,0.531,0.884,high
asset_0182,121.71,1,27.13,71.22,0.798,0.65,low
asset_0183,70.18,0,35.61,75.06,2.244,0.823,high
asset_0184,42.42,1,15.92,76.14,2.777,0.678,medium
asset_0185,21.79,1,58.38,80.95,0.707,0.544,medium
asset_0186,44.83,1,18.45,72.74,1.053,0.659,high
asset_0187,63.94,1,44.26,84.69,1.245,0.475,medium
asset_0188,58.41,1,54.76,74.78,2.723,0.662,low
asset_0189,76.09,1,44.21,77.62,0.978,0.805,high
asset_0190,76.57,1,81.39,64.5,0.986,0.836,high
asset_0191,21.65,1,8.1,91.43,2.452,0.798,high
asset_0192,107.34,1,22.87,76.23,1.032,0.439,medium
asset_0193,27.08,1,54.31,78.42,1.69,0.591,medium
asset_0194,51.78,0,14.03,57.53,0.628,0.363,medium
asset_0195,69.42,1,18.77,64.6,1.131,0.876,low
asset_0196,45.0,1,38.12,83.14,0.579,0.555,medium
asset_0197,74.4,1,30.17,74.58,0.76,0.775,medium
asset_0198,43.56,1,36.95,54.78,1.782,0.709,medium
asset_0199,18.21,1,31.5,81.34,1.194,0.75,medium
asset_0200,125.33,1,32.99,67.11,1.058,0.674,medium
asset_0201,64.79,1,19.81,84.7,0.872,0.781,medium
asset_0202,33.18,1,32.45,71.21,1.106,0.762,medium
asset_0203,32.58,1,23.71,73.84,1.399,0.621,high
asset_0204,46.78,1,25.45,82.61,1.901,0.538,medium
asset_0205,12.5,1,43.96,63.92,0.375,0.722,low
asset_0206,33.29,1,13.62,63.06,0.84,0.824,low
asset_0207,58.8,1,6.14,70.23,1.312,0.622,medium
asset_0208,72.81,1,42.38,79.44,1.168,0.725,medium
asset_0209,67.73,1,32.47,60.02,1.465,0.483,high
asset_0210,72.4,0,54.73,56.99,1.378,0.723,low
asset_0211,70.53,0,19.05,79.41,1.065,0.584,low
asset_0212,136.64,1,27.86,66.57,0.964,0.953,medium
asset_0213,51.25,0,30.77,68.47,1.094,0.473,medium
asset_0214,25.41,1,21.14,55.29,2.048,0.861,high
asset_0215,94.3,1,17.72,65.89,0.879,0.488,high
asset_0216,53.4,1,43.45,71.93,1.187,0.804,medium
asset_0217,46.52,0,12.85,80.37,1.326,0.773,high
asset_0218,17.48,1,16.11,65.06,2.465,0.765,low
asset_0219,33.08,1,27.37,86.92,1.067,0.787,medium
asset_0220,38.29,1,45.98,65.84,1.88,0.494,high
asset_0221,59.43,1,21.89,65.85,2.126,0.747,medium
asset_0222,40.62,0,20.41,85.84,1.187,0.385,high
asset_0223,36.01,1,26.53,73.9,1.111,0.536,medium
asset_0224,51.82,1,35.23,67.03,1.053,0.606,low
asset_0225,39.15,1,24.39,70.6,1.089,0.84,medium
asset_0226,9.55,1,48.91,84.18,1.794,0.615,high
asset_0227,62.95,1,49.93,85.2,1.355,0.458,medium
asset_0228,36.45,1,27.37,64.65,1.358,0.622,high
asset_0229,4.82,1,70.52,71.62,0.736,0.936,low
asset_0230,54.51,0,30.41,72.81,0.79,0.578,high
asset_0231,14.94,1,49.1,63.12,3.204,0.748,medium
asset_0232,8.15,1,34.74,71.5,1.127,0.945,low
asset_0233,38.88,1,34.41,72.05,0.862,0.981,medium
asset_0234,23.93,1,11.1,82.26,2.326,0.867,medium
asset_0235,73.56,0,15.33,82.87,1.387,0.956,medium
asset_0236,106.05,1,25.07,69.04,1.584,0.72,medium
asset_0237,38.97,1,49.75,70.07,1.148,0.959,low
asset_0238,69.07,1,34.99,77.98,1.058,0.594,high
asset_0239,41.59,0,25.19,66.73,1.132,0.907,medium
asset_0240,114.46,1,39.88,77.3,0.656,0.591,high
asset_0241,35.6,1,48.83,71.21,1.174,0.923,medium
asset_0242,65.25,0,29.43,63.28,1.395,0.78,high
asset_0243,42.17,1,32.89,63.39,2.809,0.542,low
asset_0244,92.56,0,30.76,85.02,1.27,0.376,medium
asset_0245,97.6,1,28.47,70.59,0.427,0.552,medium
asset_0246,56.61,1,18.94,86.76,1.171,0.88,low
asset_0247,52.85,1,18.13,67.38,4.19,0.649,low
asset_0248,80.69,0,39.75,74.62,1.804,0.477,medium
asset_0249,61.91,1,49.3,93.53,0.848,0.846,high
asset_0250,85.39,1,25.16,62.48,1.594,0.931,medium
asset_0251,95.93,1,24.85,54.92,0.875,0.576,low
asset_0252,85.19,0,9.27,83.58,0.664,0.85,high
asset_0253,41.29,1,8.18,64.56,1.044,0.393,low
asset_0254,46.7,1,55.58,71.81,1.273,0.677,medium
asset_0255,107.99,1,19.63,66.73,0.526,0.697,high
asset_0256,42.4,1,84.23,74.41,0.728,0.676,high
asset_0257,20.27,1,21.57,63.45,1.227,0.338,high
asset_0258,63.54,1,11.33,70.38,1.016,0.865,high
asset_0259,63.0,1,30.88,76.05,1.459,0.779,medium
asset_0260,51.42,0,43.19,62.93,0.707,0.811,medium
asset_0261,54.72,1,40.81,65.7,1.684,0.68,medium
asset_0262,44.53,1,45.35,68.87,0.717,0.724,high
asset_0263,44.24,1,16.84,59.14,2.558,0.643,high
asset_0264,15.43,1,54.92,68.2,0.564,0.886,medium
asset_0265,70.75,1,56.52,73.07,0.747,0.645,medium
asset_0266,4.87,1,57.75,68.4,1.474,0.922,medium
asset_0267,18.2,1,33.47,69.56,2.583,0.789,medium
asset_0268,34.11,1,24.13,71.82,1.407,0.636,high
asset_0269,42.58,1,22.98,66.1,1.573,0.726,low
asset_0270,34.38,1,11.29,78.22,1.231,0.687,medium
asset_0271,75.84,0,21.83,84.92,0.77,0.69,high
asset_0272,77.44,1,5.82,67.82,0.98,0.612,medium
asset_0273,62.72,1,10.34,76.37,0.708,0.639,medium
asset_0274,69.36,1,33.29,69.84,0.687,0.798,medium
asset_0275,38.47,1,25.62,75.29,1.463,0.724,low
asset_0276,14.77,1,32.56,86.09,0.737,0.765,medium
asset_0277,56.12,1,41.55,76.58,1.41,0.845,low
asset_0278,66.36,1,35.64,56.04,0.68,0.573,low
asset_0279,63.66,1,34.11,76.09,1.396,0.711,low
asset_0280,85.49,1,28.02,83.1,0.98,0.674,medium
asset_0281,41.33,1,19.24,70.01,2.3,0.337,low
asset_0282,82.41,1,14.1,80.96,1.413,0.614,high
asset_0283,7.83,1,22.15,65.79,2.13,0.712,low
asset_0284,17.55,1,28.26,58.63,0.869,0.924,medium
asset_0285,38.29,1,30.12,73.27,1.253,0.568,high
asset_0286,91.77,1,45.4,56.19,0.785,0.39,low
asset_0287,63.41,1,26.96,69.84,1.014,0.723,medium
asset_0288,81.69,1,38.56,83.58,1.086,0.967,high
asset_0289,97.27,1,12.27,54.81,0.881,0.85,medium
asset_0290,41.38,1,33.53,60.48,0.707,0.647,low
asset_0291,105.65,0,32.34,62.71,0.647,0.62,medium
asset_0292,33.44,1,54.93,71.43,0.426,0.633,medium
asset_0293,65.0,0,25.63,68.71,0.759,0.8,medium
asset_0294,48.25,1,25.06,84.59,1.62,0.87,low
asset_0295,76.28,1,41.69,80.59,0.595,0.803,low
asset_0296,14.1,1,14.75,76.46,0.66,0.982,high
asset_0297,42.06,1,33.09,73.31,2.734,0.694,medium
asset_0298,48.35,0,14.31,75.54,0.917,0.881,low
asset_0299,10.75,1,67.01,64.24,1.411,0.727,medium
asset_0300,53.65,1,23.31,79.71,1.631,0.629,high
asset_0301,23.94,1,13.76,61.99,1.646,0.663,low
asset_0302,51.59,1,22.06,79.52,0.616,0.405,low
asset_0303,120.27,1,33.19,82.68,1.101,0.473,medium
asset_0304,30.85,1,37.96,73.9,0.59,0.826,medium
asset_0305,15.99,1,53.51,70.41,3.672,0.903,medium
asset_0306,128.51,0,20.62,75.6,0.596,0.616,high
asset_0307,59.93,1,42.64,46.25,0.762,0.559,low
asset_0308,37.19,1,10.35,74.72,0.765,0.756,medium
asset_0309,99.13,0,16.17,70.98,0.623,0.335,medium
asset_0310,48.42,1,12.48,71.54,2.245,0.446,medium
asset_0311,27.91,1,18.63,78.36,3.633,0.696,medium
asset_0312,70.9,1,41.68,71.33,0.986,0.678,high
asset_0313,27.11,1,20.9,61.74,0.674,0.852,medium
asset_0314,168.69,0,23.09,70.73,0.446,0.795,high
asset_0315,38.06,1,33.65,72.61,1.094,0.737,low
asset_0316,32.07,1,37.16,73.03,1.059,0.777,medium
asset_0317,54.8,1,23.47,73.46,0.911,0.806,medium
asset_0318,30.75,1,16.11,81.35,1.349,0.789,medium
asset_0319,33.97,1,61.58,62.23,1.459,0.641,low
asset_0320,83.93,0,23.55,73.58,1.413,0.589,high
asset_0321,20.43,1,24.83,83.61,1.059,0.484,high
asset_0322,135.73,0,26.52,56.39,0.744,0.833,high
asset_0323,16.96,1,39.14,73.62,1.648,0.63,high
asset_0324,23.84,1,11.88,66.73,1.228,0.683,low
asset_0325,67.47,1,73.35,68.66,1.822,0.793,medium
asset_0326,49.47,1,24.46,63.86,1.743,0.799,medium
asset_0327,151.21,0,39.8,70.47,0.644,0.858,high
asset_0328,23.11,1,13.86,88.57,0.641,0.684,low
asset_0329,62.3,1,31.92,60.62,0.869,0.679,low
asset_0330,41.81,1,67.72,61.47,0.759,0.765,medium
asset_0331,27.48,1,63.02,60.28,1.716,0.585,low
asset_0332,62.48,1,39.28,87.55,1.431,0.844,medium
asset_0333,27.85,1,17.93,67.84,2.003,0.71,medium
asset_0334,32.16,1,52.1,71.77,1.46,0.646,medium
asset_0335,26.46,1,10.3,68.37,1.342,0.62,high
asset_0336,88.28,1,17.57,63.5,2.096,0.866,medium
asset_0337,14.38,1,28.1,69.88,1.509,0.605,low
asset_0338,13.15,1,10.89,94.12,1.259,0.332,low
asset_0339,12.46,1,22.03,84.53,2.378,0.745,low
asset_0340,58.83,1,43.07,64.32,1.286,0.751,low
asset_0341,77.28,1,19.7,77.83,1.065,0.772,medium
asset_0342,86.87,0,44.09,64.52,0.838,0.529,medium
asset_0343,126.52,1,83.06,56.01,1.676,0.446,medium
asset_0344,40.78,1,35.68,81.18,2.131,0.651,low
asset_0345,48.91,1,43.71,82.44,1.194,0.324,high
asset_0346,21.07,1,52.99,81.41,2.2,0.509,low
asset_0347,49.91,1,23.16,67.77,0.503,0.901,medium
asset_0348,41.33,0,43.19,70.5,1.191,0.838,medium
asset_0349,57.13,1,22.85,78.75,1.2,0.885,low
asset_0350,43.28,1,34.41,75.52,0.881,0.823,high
asset_0351,18.74,1,46.47,68.46,3.571,0.517,low
asset_0352,48.69,1,18.4,57.43,1.186,0.881,medium
asset_0353,79.39,1,6.21,73.02,1.017,0.715,medium
asset_0354,45.01,1,17.43,81.71,1.236,0.598,high
asset_0355,79.41,0,49.9,61.22,0.496,0.837,medium
asset_0356,98.14,0,16.21,77.75,0.868,0.743,high
asset_0357,56.25,1,48.52,74.98,1.901,0.668,medium
asset_0358,58.95,0,17.48,78.75,0.92,0.752,medium
asset_0359,18.8,1,26.07,79.85,0.841,0.868,medium
asset_0360,14.07,1,29.12,65.75,2.202,0.872,medium
asset_0361,99.8,0,16.16,57.45,2.232,0.918,medium
asset_0362,58.69,0,26.22,67.2,1.541,0.879,low
asset_0363,72.08,1,11.31,80.0,0.995,0.785,medium
asset_0364,54.49,0,24.28,67.12,1.097,0.811,medium
asset_0365,58.48,1,27.88,65.75,0.851,0.734,low
asset_0366,77.48,0,6.43,55.61,0.781,0.677,medium
asset_0367,62.95,1,17.35,87.77,0.763,0.672,low
asset_0368,44.47,1,33.88,79.43,0.925,0.797,medium
asset_0369,50.9,1,15.1,78.93,0.767,0.664,medium
asset_0370,24.77,1,36.74,80.71,0.604,0.697,medium
asset_0371,71.04,0,38.57,77.19,1.348,0.581,medium
asset_0372,9.71,1,33.8,69.8,1.357,0.821,low
asset_0373,9.62,1,42.93,70.53,2.626,0.894,low
asset_0374,118.1,0,10.86,68.15,0.904,0.428,medium
asset_0375,31.24,1,47.51,95.71,1.395,0.867,high
asset_0376,23.32,1,16.31,77.0,1.406,0.964,medium
asset_0377,21.44,1,30.88,67.83,1.09,0.76,medium
asset_0378,49.5,0,66.39,76.19,1.707,0.485,medium
asset_0379,20.9,1,24.0,62.9,1.731,0.86,medium
asset_0380,16.93,1,29.51,85.54,1.415,0.559,medium
asset_0381,40.14,1,16.37,66.05,1.089,0.778,medium
asset_0382,40.06,1,66.06,76.51,1.04,0.627,low
asset_0383,55.41,1,17.37,81.59,0.66,0.927,low
asset_0384,35.26,1,40.26,75.46,0.85,0.589,medium
asset_0385,30.67,1,52.94,72.85,0.923,0.615,medium
asset_0386,67.0,1,42.19,72.1,0.737,0.568,high
asset_0387,65.45,0,34.87,71.49,1.489,0.737,medium
asset_0388,53.15,0,30.63,66.81,2.093,0.7,medium
asset_0389,131.79,0,13.77,67.95,0.812,0.646,high
asset_0390,25.11,1,64.59,85.32,1.388,0.761,medium
asset_0391,73.15,1,33.42,71.02,0.767,0.854,high
asset_0392,15.65,1,29.52,64.93,1.065,0.595,low
asset_0393,84.23,0,15.57,67.35,0.895,0.727,medium
asset_0394,12.67,1,30.27,81.9,1.601,0.798,medium
asset_0395,60.0,0,28.56,78.08,0.9,0.841,medium
asset_0396,16.74,1,66.39,77.04,1.926,0.966,low
asset_0397,55.18,1,29.51,69.68,1.094,0.928,medium
asset_0398,117.93,1,30.02,77.16,0.912,0.773,medium
asset_0399,81.5,0,15.68,66.21,0.695,0.466,medium
asset_0400,60.42,0,19.32,69.66,1.369,0.867,high
asset_0401,30.88,1,37.88,80.73,1.827,0.831,low
asset_0402,41.79,1,9.59,79.87,1.381,0.521,medium
asset_0403,16.01,1,47.38,63.16,3.345,0.893,low
asset_0404,10.34,1,48.02,64.3,2.324,0.601,high
asset_0405,59.99,1,18.2,72.98,1.064,0.741,high
asset_0406,25.64,1,34.94,87.54,1.059,0.648,high
asset_0407,82.3,1,53.8,54.76,1.509,0.677,high
asset_0408,8.03,1,27.35,74.5,0.838,0.636,medium
asset_0409,76.42,1,24.71,59.62,2.064,0.718,medium
asset_0410,69.63,1,26.35,66.29,1.437,0.822,medium
asset_0411,108.44,1,33.38,68.72,1.371,0.888,high
asset_0412,53.19,1,20.73,68.22,1.664,0.837,medium
asset_0413,65.7,1,23.6,67.2,2.652,0.715,medium
asset_0414,111.87,1,33.72,72.06,1.319,0.497,high
asset_0415,50.74,1,22.56,67.18,1.161,0.698,high
asset_0416,93.5,0,14.89,58.84,2.408,0.447,high
asset_0417,70.83,1,9.06,79.02,1.888,0.772,low
asset_0418,63.23,1,29.81,78.78,1.057,0.532,medium
asset_0419,29.31,1,52.14,79.59,1.224,0.719,medium
asset_0420,88.32,0,35.83,58.13,1.334,0.597,medium
asset_0421,20.05,1,15.23,74.69,1.437,0.84,medium
asset_0422,30.84,1,19.25,78.08,0.663,0.921,medium
asset_0423,26.24,1,24.61,62.72,0.61,0.753,high
asset_0424,6.6,1,67.44,72.08,0.819,0.597,medium
asset_0425,24.52,1,69.26,70.95,0.791,0.879,medium
asset_0426,28.51,1,65.23,88.58,0.914,0.787,high
asset_0427,63.73,1,31.39,89.32,1.625,0.6,medium
asset_0428,89.64,1,109.95,57.02,1.132,0.736,medium
asset_0429,49.07,1,19.78,94.45,1.334,0.619,low
asset_0430,35.69,1,24.13,63.76,0.704,0.791,low
asset_0431,12.04,1,45.57,80.83,0.992,0.64,high
asset_0432,81.31,0,33.81,80.73,1.591,0.528,medium
asset_0433,43.65,1,34.8,63.04,1.596,0.794,low
asset_0434,43.52,0,16.72,76.44,0.882,0.922,high
asset_0435,130.85,1,28.45,71.03,1.314,0.844,medium
asset_0436,53.5,0,19.94,76.99,3.285,0.733,high
asset_0437,56.36,1,13.2,74.08,1.212,0.812,medium
asset_0438,139.09,1,21.25,82.77,0.894,0.843,high
asset_0439,13.44,1,33.82,72.68,1.13,0.666,low
asset_0440,11.44,1,41.89,70.49,1.273,0.684,low
asset_0441,7.7,1,8.85,81.86,1.141,0.811,high
asset_0442,25.44,1,29.15,77.22,1.204,0.884,high
asset_0443,53.91,0,27.78,78.59,0.638,0.947,medium
asset_0444,74.12,0,32.93,66.02,0.792,0.458,low
asset_0445,9.21,1,15.39,62.59,1.142,0.592,medium
asset_0446,129.16,1,15.57,66.89,1.134,0.606,high
asset_0447,67.25,1,52.84,66.41,0.947,0.869,high
asset_0448,48.66,1,5.28,79.08,1.128,0.861,medium
asset_0449,26.14,1,18.33,80.78,1.255,0.722,low
asset_0450,40.8,1,23.51,70.6,1.823,0.812,medium
asset_0451,76.4,1,24.81,84.88,1.168,0.795,medium
asset_0452,18.75,1,20.15,84.32,1.462,0.84,medium
asset_0453,63.91,0,37.3,74.19,0.957,0.834,medium
asset_0454,2.84,1,35.72,64.6,1.58,0.903,high
asset_0455,66.39,1,27.13,86.18,1.446,0.846,medium
